A1|Zapp's Voodoo Chips|3.05|Chips
A2|Zapp's Caijin Dill Gator-Tator Chips|1.45|Chips
A3|Zapp's Sour Cream & Onion Chips|2.75|Chips
A4|Zapp's Blood Moon Chips|3.65|Chips
A5|Zapp's Unicorn Chips|3.25|Chips
B1|Reese's|1.80|Candy
B2|Butterfingers|1.50|Candy
B3|Kit-Kat|1.50|Candy
B4|Snickers|1.75|Candy
B5|Kinder Egg|1.25|Candy
C1|Dr. Pepper|1.50|Drink
C2|Cotton Club Soda Cherry Strawberry |1.50|Drink
C3|Vernors Ginger Soda|1.55|Drink
C4|Martini|1.50|Drink
C5|Old Fashioned|1.50|Drink
D1|Trident Layers|0.85|Gum
D2|Skittles Gum|0.95|Gum
D3|Bazooka Gum|0.75|Gum
D4|Thrills Soap-Flavored Gum|0.99|Gum
D5|Extra Gum|0.75|Gum
